dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10
8,357,1221,53,251,1451,8,273,9192,96
12,502,2319,71,326,9745,75,60,1907,5
22,330,2475,24,618,1640,67,479,1083,56
32,674,1774,71,771,9074,35,750,8929,24
8,824,4843,78,342,728,92,249,320,22
2,319,922,96,23,7512,65,714,2247,8
93,200,5229,42,453,5743,0,946,5187,44
72,586,9329,49,603,5234,41,67,8850,35
24,488,6973,35,121,150,32,363,9995,51
87,928,6979,99,479,7787,23,13,2066,42
95,748,5367,44,462,6223,44,483,8518,83
70,32,8421,49,79,9689,47,4,1493,10
35,602,7012,39,85,6292,74,221,508,82
88,913,9793,94,722,4322,58,368,1346,18
19,394,2676,66,19,2030,39,907,9946,81
80,317,1450,89,378,734,91,186,5824,73
53,814,5979,50,503,5010,17,815,6244,72
99,93,3292,26,251,3482,2,395,7509,76
89,316,6185,68,804,4142,52,894,8570,38
18,335,4881,93,254,4253,54,200,9901,26
59,439,6767,30,602,9506,56,257,3952,4
36,23,6419,19,298,1199,67,9,3259,45
2,704,9734,53,5,5034,80,90,1517,97
91,842,4053,95,814,5926,10,787,9364,19
85,261,6934,70,155,7197,67,654,8345,76
18,75,9698,98,313,8828,30,611,4999,30
52,281,2574,29,818,109,5,995,2131,95
45,850,8447,81,436,130,13,85,2525,33
79,960,7618,22,980,3002,35,261,9224,50
55,244,5932,17,875,6690,33,848,3149,71
69,993,5241,14,255,2984,59,121,5019,14
30,181,5647,82,569,726,7,989,5622,53
52,701,1717,44,383,1820,48,939,4055,14
33,339,9185,33,426,6072,93,149,9373,45
30,267,4917,7,915,57,12,235,6202,67
59,663,1019,41,645,9273,9,697,8374,75
10,479,6328,88,254,6137,63,338,5516,43
99,992,3102,27,539,4311,45,716,8067,76
5,507,5654,10,90,4618,7,413,9778,92
26,806,4474,3,404,3643,12,628,465,76
6,841,5939,75,758,7547,43,778,2292,90
48,661,8335,2,335,1646,74,971,9486,47
95,943,6783,10,501,9611,64,44,8653,24
71,251,4116,2,589,1193,20,890,623,59
59,744,1292,23,605,5495,51,87,6812,63
32,205,5465,17,308,6684,28,36,9681,7
46,515,9541,65,407,7022,54,13,6088,81
43,28,5307,44,716,7867,8,616,2935,28
78,133,4629,28,769,845,24,118,1957,26
26,46,1555,42,595,2019,50,336,2326,44
93,566,7639,29,165,4621,15,485,8630,63
21,999,4952,62,426,8344,19,70,6012,67
46,745,4905,32,700,698,32,59,1263,74
92,614,827,85,416,8722,66,247,9198,14
47,438,5330,74,831,383,68,308,3174,6
29,245,8870,13,502,1822,32,175,4925,93
1,944,9991,30,501,4483,94,520,2603,47
14,408,4107,91,536,5293,49,893,1258,49
46,684,9499,40,175,8739,87,347,6775,30
26,135,1502,46,161,2611,9,754,4486,23
70,504,5348,69,114,2335,2,803,3242,25
26,778,5882,84,476,6441,24,826,422,28
84,384,4917,26,101,9518,64,171,7580,82
12,453,3653,71,944,4041,51,845,5963,97
54,357,5932,75,711,829,25,742,9803,87
16,667,3383,98,329,8347,99,862,3079,88
74,735,5367,62,33,3764,39,781,4743,77
58,392,2710,63,253,8875,77,888,735,27
9,97,7003,83,428,2455,50,88,8146,13
32,48,5145,40,331,7030,23,467,377,97
77,961,4163,55,346,3086,18,823,4233,28
36,661,6375,45,104,1868,14,188,8789,88
7,934,3177,30,218,9540,72,371,8310,57
32,918,4518,92,203,7417,67,560,9912,47
6,60,4391,86,713,7043,97,769,8753,52
33,242,9844,4,117,3000,58,156,9071,69
70,371,1254,20,309,3256,18,306,713,5
6,834,7587,38,279,9028,33,707,5202,75
40,426,6037,50,852,7592,47,867,5689,47
99,172,5958,18,212,2642,21,341,1040,45
54,335,7198,13,207,4381,70,959,4164,7
6,552,6916,46,961,6843,38,539,5452,21
83,605,3924,62,354,8328,9,462,7642,14
17,146,469,95,77,12,2,823,3454,1
42,299,6942,50,270,9186,38,709,8857,52
77,25,3233,45,330,2539,33,809,3368,23
39,655,2843,82,250,5109,58,454,1524,0
52,917,7364,34,939,7362,73,395,8548,42
13,645,2797,76,715,5787,14,235,7218,20
20,548,5950,27,526,1919,27,305,498,88
56,964,9764,46,54,9544,31,306,803,46
90,205,4375,42,438,4497,53,809,3917,52
45,151,699,87,203,779,4,985,7025,67
25,461,9991,35,83,9114,82,329,1953,57
90,456,1861,35,81,1587,42,307,7086,20
23,167,7982,69,830,6139,46,870,8334,3
4,375,1293,50,937,3570,20,17,4452,32
41,202,2423,44,606,6707,65,749,8176,67
91,905,5883,47,134,9186,77,948,3807,36
42,670,3981,74,122,5974,18,5,7754,27
31,178,2974,62,476,5802,9,778,8540,22
87,437,5009,80,50,6103,93,104,9450,96
5,216,315,29,480,2656,70,980,9604,43
73,820,307,90,18,6361,10,891,7184,64
66,659,2807,78,99,392,3,145,8580,69
6,892,7959,40,679,2343,47,148,3858,98
28,158,8100,85,868,7237,69,399,1638,76
33,504,7634,38,347,9094,33,632,7201,95
6,655,4733,60,558,3527,77,292,9696,93
80,356,3560,57,482,291,84,340,1179,70
76,69,3159,37,515,5871,9,975,5946,63
57,298,9375,71,958,6561,7,88,27,61
84,122,4240,9,569,915,82,54,956,78
30,266,1375,89,435,5453,12,456,6063,39
72,943,3163,65,636,5419,91,693,5260,65
44,630,2513,15,632,9866,78,587,3211,61
46,423,9095,67,700,8098,59,465,4700,70
76,914,1112,25,315,4934,62,99,4331,32
80,576,352,70,199,4954,83,317,3388,89
71,185,4627,97,604,5595,74,146,6957,17
72,154,1931,2,128,1268,29,710,4738,22
72,980,5995,0,493,2057,71,181,7079,30
39,168,9761,6,711,6070,4,827,5798,26
29,909,8819,54,364,5096,80,2,284,84
61,760,3467,78,60,5121,11,430,3532,86
70,339,7783,75,121,3948,22,878,7489,26
16,418,5326,20,893,35,75,574,8534,33
4,868,5542,22,700,960,1,215,8478,13
80,222,3316,41,22,3203,66,689,439,33
0,513,6756,53,833,239,62,468,5581,83
79,465,9563,81,221,682,55,677,5015,17
80,724,2203,91,332,9231,13,581,968,44
93,88,7712,35,116,8372,96,461,9566,47
30,12,7258,11,68,3723,43,410,8876,63
34,35,4523,2,350,7893,98,456,7391,84
71,592,4118,90,186,9604,22,477,1712,73
29,237,9651,33,841,710,47,453,2469,46
84,715,1716,14,14,120,68,959,9181,38
14,425,8672,16,537,8681,75,680,5731,5
97,213,8008,72,851,9677,28,220,8243,78
55,919,4889,57,783,3108,98,319,3964,93
59,14,3894,29,11,2485,11,466,5531,49
26,134,4463,30,897,6998,1,314,7219,16
1,642,2209,45,547,1463,52,254,3907,43
73,659,4502,1,633,4998,36,942,1798,97
63,892,2281,86,57,2316,38,748,2910,35
4,426,6368,46,473,8324,24,864,5437,42
90,537,9173,9,617,8192,88,708,1669,27
67,556,6289,24,704,7662,61,716,7280,31
12,539,6896,58,723,7392,73,717,9674,32
80,884,5379,83,11,8938,21,969,8327,41
84,866,9729,43,499,223,17,920,8148,53
22,44,1321,78,793,9853,18,994,4748,40
96,699,4148,85,764,9590,23,805,8678,56
49,807,4946,59,990,1885,79,109,1325,99
78,520,3669,39,114,3712,29,964,5024,73
77,70,8141,41,602,198,38,690,8506,90
72,295,1960,94,14,9753,88,480,6723,17
36,909,5554,81,114,2329,58,731,7294,10
29,977,5973,7,234,7649,44,671,2183,67
92,777,3862,84,806,650,19,439,2551,95
22,994,4416,95,107,3211,13,658,3705,56
33,252,2912,41,469,7,45,744,9126,83
63,815,4441,55,481,1777,0,33,3003,67
54,910,8410,4,228,3664,73,893,1364,16
70,684,2482,67,998,161,52,626,5712,17
8,195,3487,37,928,7477,13,667,7393,29
3,751,1847,42,608,1194,5,956,2832,9
65,185,2211,86,467,8743,83,195,8363,24
90,497,4665,35,156,5360,64,52,81,41
32,146,8745,24,2,1863,24,742,4820,39
31,119,5407,94,226,5587,36,634,5875,82
43,175,4951,52,665,5751,82,903,5075,90
36,505,9194,95,708,9039,16,417,4957,27
90,27,5466,45,953,6880,87,697,7539,13
91,427,5570,12,555,6811,22,506,1615,26
66,982,4319,45,611,3321,68,968,4045,0
59,21,5399,36,445,4230,42,405,4719,27
58,85,1990,97,96,6096,22,770,7093,21
35,481,6495,86,744,393,26,837,2707,72
48,167,5237,64,884,6970,37,996,7867,69
50,970,1992,77,174,3752,26,897,5445,45
7,299,6472,68,869,6100,12,286,6557,35
49,613,8869,0,468,4288,81,423,3787,12
40,495,4387,91,713,869,66,927,6636,15
37,30,9180,42,808,4055,74,737,7728,46
85,90,2694,64,857,9930,33,757,9563,95
77,260,9801,0,466,8485,87,645,8999,61
78,489,5635,17,849,8347,86,223,6729,63
54,412,7769,57,944,52,26,751,6477,74
67,196,4926,7,307,8278,99,374,9799,2
17,126,7576,44,919,7315,94,769,7887,86
64,849,5836,83,636,6659,3,225,184,82
63,92,7349,59,576,671,50,455,2602,60
11,705,2392,35,432,6626,94,344,5838,94
40,269,9665,32,359,4810,32,936,3611,14
41,982,2458,24,402,2612,67,494,920,0
59,442,8769,60,753,5041,18,777,357,71
49,564,8525,81,33,4376,46,109,3278,86
80,668,7659,7,348,5997,91,749,1874,77
82,998,3169,52,997,5422,17,35,4941,61
35,967,3349,89,527,4770,50,324,3069,94
47,899,6242,76,819,7193,98,604,4847,11
70,228,8145,46,869,5914,60,280,6443,52
72,415,5389,63,593,2040,84,606,5004,95
7,304,1836,70,363,5901,14,182,9532,14
24,165,5685,7,289,2892,23,339,7656,36
6,92,5958,32,3,6745,93,807,7991,30
7,511,8025,97,838,7308,66,61,4380,78
87,668,2201,14,537,8806,62,612,5466,76
80,891,1833,36,675,9324,32,28,4200,65
75,384,9668,16,897,4211,97,885,3435,71
30,898,1980,59,917,6582,6,35,2805,44
11,809,1684,8,758,5856,90,6,1218,32
56,108,2594,1,24,192,61,300,4374,24
65,466,8873,17,270,6604,66,861,9125,7
11,205,5823,33,987,8754,80,798,4621,84
26,927,7742,58,216,5243,10,369,1696,2
45,278,1137,11,572,7143,39,498,1706,13
6,153,9302,91,592,1410,19,982,5250,70
60,337,4871,89,254,4761,77,86,6545,53
57,462,2998,95,657,4708,92,223,4689,39
57,856,3261,64,950,5294,82,558,989,56
12,227,5703,59,776,7111,91,501,4273,49
52,677,6557,41,956,1537,67,838,5481,5
99,789,9369,3,426,2334,68,6,4147,5
64,721,6148,68,855,7953,62,505,2982,81
48,779,9686,49,942,1978,28,90,4817,71
34,574,8346,71,617,1277,77,877,1571,82
93,986,5296,76,306,1610,91,612,1929,9
94,623,2128,7,359,4015,48,142,6332,50
16,339,4451,78,671,4878,42,328,7416,8
71,911,9261,87,607,9957,57,553,1980,42
66,497,3439,21,788,6179,35,671,431,67
9,185,3504,56,569,8545,61,909,1232,88
33,877,2795,55,565,5611,3,704,4922,60
85,112,8827,68,136,105,57,884,5280,94
3,910,3724,71,33,2935,3,369,6401,26
95,585,6253,26,905,7368,81,758,2410,26
28,486,9993,73,562,50,41,338,1826,61
45,644,5217,8,912,164,98,713,7336,25
74,490,1497,68,654,1795,54,146,3320,31
45,116,9349,60,128,3918,51,317,9905,61
76,98,656,65,979,9445,68,673,5504,81
58,848,2660,9,779,3082,16,398,3720,63
60,818,8554,11,591,7357,45,387,2883,60
67,296,9459,66,355,523,31,954,2994,26
65,893,8848,67,731,3348,88,448,9315,45
33,989,1272,48,868,6029,4,457,7623,16
85,899,8631,16,279,9421,36,726,6597,44
4,942,8106,88,826,1528,8,444,6211,43
8,149,2172,47,259,395,43,903,6266,68
19,30,2970,90,527,7725,54,82,8554,35
20,156,1222,55,760,6540,77,550,2962,99
16,424,5212,29,298,3395,19,547,5945,2
11,700,4615,40,96,9381,91,5,7876,41
91,948,2021,89,560,4506,50,667,8700,22
81,527,3143,64,837,241,78,582,3709,98
66,54,9545,1,139,5143,3,34,9908,59
4,984,4417,48,10,7799,11,442,1675,44
59,144,5890,39,140,401,23,597,9921,24
52,17,9372,0,116,4538,18,210,1725,85
51,996,2717,38,916,1886,26,148,8439,94
77,932,7602,24,628,3251,41,846,6172,76
47,571,6546,83,409,9997,55,361,1982,49
89,284,2706,8,866,8377,94,124,1661,42
18,744,4542,26,992,1652,33,562,2315,8
16,218,6125,21,199,6614,89,123,1239,36
53,606,286,9,641,6222,13,315,5311,67
67,214,8827,24,947,4446,2,545,3545,11
34,617,8002,4,118,2670,80,946,625,28
87,344,8319,82,697,745,20,25,353,8
40,250,6186,11,350,6192,80,734,6900,78
12,630,2300,46,418,7373,22,940,4284,57
32,405,425,86,774,1714,24,35,65,41
14,565,4914,59,496,6751,4,632,2561,31
62,972,9043,13,729,7833,69,933,5946,1
14,336,8537,41,407,5399,20,373,194,24
30,44,6821,56,736,5280,50,844,8367,54
27,614,8245,91,269,8667,7,706,805,58
9,947,9135,92,620,3788,24,478,3071,51
56,891,2615,12,965,6099,11,669,5569,62
70,441,2081,15,522,3868,92,830,2273,99
32,130,8344,92,464,6643,20,927,1369,63
6,128,3995,66,316,9813,53,952,2330,42
4,182,379,82,998,175,92,785,2091,92
89,233,9553,64,147,8996,66,795,5412,77
79,878,181,8,735,892,53,988,3120,69
56,300,213,84,434,7854,93,285,6878,30
71,312,4479,50,740,6324,26,665,7896,91
85,784,5929,83,78,1932,87,134,2664,62
97,284,4632,6,712,5713,1,395,7105,32
39,529,1705,69,158,3202,40,745,6385,71
27,233,1244,8,689,7590,80,705,1789,67
35,627,9407,63,102,2166,69,668,7348,2
55,392,1147,78,501,4305,21,973,3782,25
46,601,8191,72,494,6063,99,536,9826,9
70,599,8219,12,846,5473,47,633,617,55
39,96,3066,59,551,9173,2,638,1900,5
58,75,2880,99,50,1996,38,460,297,0
42,746,1071,84,436,9494,49,281,7851,84
91,618,4372,88,98,9893,11,525,2791,15
65,654,2177,52,705,1121,25,71,2020,41
8,371,2444,57,11,3908,50,301,1387,82
5,461,4221,37,14,3736,38,971,3985,42
64,8,3641,20,934,5289,73,755,9434,23
2,158,8513,5,266,5481,23,983,2512,95
73,609,4860,94,436,8139,70,470,3,56
36,385,3984,61,621,2660,56,933,1054,10
86,949,5573,87,94,2871,46,76,4879,35
32,559,961,75,824,9498,60,640,4095,66
8,101,890,66,469,4810,49,599,5290,55
52,108,7216,59,590,7333,89,182,4803,91
76,613,696,49,179,2235,88,304,7473,99
91,377,9943,50,169,7829,13,747,3155,39
50,640,543,38,171,2955,84,131,6047,68
70,632,8308,98,564,4140,93,574,8332,83
25,574,9678,60,274,5342,6,714,2747,93
15,763,3184,68,941,1367,80,501,5049,46
39,33,4211,4,817,6127,22,132,8628,44
89,982,9329,65,689,1703,31,110,1255,33
50,704,5541,46,63,6650,44,316,4268,3
38,736,8611,5,142,6872,48,393,5660,56
54,778,7823,12,71,9356,28,206,6827,20
95,367,3395,99,834,6955,41,768,2532,27
35,520,8937,95,903,8848,1,300,2822,40
64,262,352,22,119,3127,99,546,2464,74
84,557,6359,52,312,8301,90,230,2615,78
76,932,7209,8,994,2583,59,358,3615,79
89,633,765,22,590,8292,50,46,4648,23
44,370,7645,84,827,9381,66,581,2762,70
8,343,214,88,265,5818,29,52,3825,58
36,688,4475,33,158,5051,62,642,5411,69
86,775,164,72,305,1044,28,416,4717,51
0,828,4433,82,8,6693,87,498,3019,70
65,163,83,26,102,2327,97,945,7746,29
62,897,3812,5,745,1340,56,923,514,77
42,374,6339,4,685,7496,79,267,5899,86
27,499,6859,69,81,421,8,491,8801,60
99,44,5298,4,796,4920,99,468,2286,61
30,627,780,68,570,9515,64,990,958,71
68,389,7219,27,846,9602,67,980,9199,79
88,241,3771,54,466,7813,41,92,8956,15
7,932,2822,87,331,2377,14,613,9105,72
33,952,3469,77,477,4173,98,457,3195,33
48,459,3846,73,31,5875,48,605,5720,53
95,18,7215,35,221,7917,60,534,9953,17
57,307,7592,4,640,8144,7,767,4781,37
74,732,328,65,86,6543,36,764,9776,27
46,722,5122,30,314,3421,4,429,601,80
24,798,9701,80,689,7588,1,149,995,98
2,46,3914,20,830,7644,30,116,158,48
44,934,4813,95,941,3503,75,186,8053,45
51,252,6409,33,621,7481,85,996,8848,8
95,732,7705,92,311,7631,61,850,9746,45
98,818,231,83,715,2475,31,731,6682,94
95,822,4015,32,510,8100,76,455,9849,46
33,916,4228,72,444,7282,9,93,5016,5
68,482,358,21,163,4703,36,409,7650,85
91,928,7525,27,15,6943,21,669,2447,32
91,276,9499,46,732,3399,15,725,8681,64
7,376,7371,35,303,476,72,166,1054,33
26,521,842,41,631,9745,30,151,343,77
79,131,2136,95,440,3679,95,505,186,54
62,815,7915,37,580,8911,5,51,2372,38
81,312,7644,66,372,1230,71,304,1469,74
24,139,2120,51,14,967,52,571,1660,69
57,634,5879,65,977,1601,22,599,2013,21
47,137,7957,26,712,5357,29,936,4077,2
0,578,5899,59,294,3617,46,491,3606,27
7,135,8298,87,46,5428,42,725,4141,7
20,324,195,87,995,5805,32,835,9457,19
97,757,3480,51,810,5142,4,530,5015,97
87,611,6067,53,62,5461,63,333,5960,63
89,239,7291,31,410,62,80,583,2150,36
77,149,3396,92,869,9465,10,118,878,43
28,34,579,74,749,8897,24,758,624,14
29,982,3164,85,552,5050,48,447,9627,30
2,643,3346,88,738,537,89,101,4415,28
6,911,4705,2,505,3638,7,854,7211,76
99,932,1400,50,263,4300,4,546,9984,12
10,789,3367,82,168,4834,22,755,7842,56
31,980,5119,62,57,9181,45,139,2166,57
58,573,1257,48,791,8017,45,284,2107,52
11,123,5788,46,910,6410,1,68,6289,7
78,561,4625,87,152,8154,85,152,6775,97
37,507,5069,28,715,2834,70,770,4851,97
23,699,4811,98,425,7822,81,26,1662,28
64,538,1927,4,352,3738,2,689,384,69
17,691,1102,56,717,9934,46,380,2721,39
45,39,5046,48,275,4166,10,541,7271,50
55,455,2615,91,458,1890,52,968,7045,38
62,454,3731,16,684,6567,8,818,5654,84
6,361,202,39,404,4006,80,87,1662,64
65,225,5306,57,902,2181,1,210,2923,56
39,541,3809,80,791,7356,68,292,3723,86
53,307,8349,45,463,8458,45,203,1921,12
30,216,5411,77,350,2456,43,496,1604,44
96,293,9057,97,508,7873,2,847,8440,64
51,526,1698,90,524,301,2,878,2466,37
93,493,8340,98,467,6425,78,221,2002,68
30,923,470,59,404,848,65,69,3006,27
33,826,6954,72,653,3498,33,526,7497,7
6,295,3768,67,228,7224,77,778,5638,46
88,72,7622,45,798,6198,89,144,1342,27
15,132,2852,97,453,6666,49,7,5866,3
21,484,5897,38,258,5742,90,304,7606,45
99,488,576,1,758,2520,68,739,6320,44
52,213,1442,84,25,753,50,151,838,7
90,422,1903,68,288,2320,99,418,7774,78
16,359,2199,97,759,9912,76,958,7046,18
3,379,7822,62,367,9418,34,345,3572,15
60,311,5380,82,536,9758,38,373,120,3
98,334,7067,78,36,7296,49,182,4136,84
85,380,7225,18,958,8699,22,110,479,93
51,34,984,6,938,2742,10,369,3895,14
34,500,640,49,925,1797,55,370,6010,42
43,986,5778,22,220,5162,95,337,6542,44
14,16,4337,84,928,1814,25,265,3306,95
60,146,625,89,820,7518,80,519,3839,0
43,273,4784,49,147,2402,0,4,7066,79
20,841,2689,28,952,4386,99,143,1243,97
76,385,3254,80,393,93,30,831,8207,28
46,65,9139,51,748,8515,43,834,2855,48
74,688,7380,74,951,1117,54,243,4852,38
48,494,7621,72,537,6800,60,34,4237,72
52,218,2829,40,538,3465,22,502,1207,91
26,79,4755,1,541,6785,52,54,2778,21
30,287,5198,79,646,3337,16,573,1711,47
43,421,1489,4,266,7867,74,2,2340,27
31,499,1308,58,515,8114,61,708,4584,95
29,281,9832,55,533,3412,55,130,4586,15
17,95,2920,29,429,1050,91,638,9399,29
62,865,7225,78,816,5963,63,177,7913,86
15,238,8831,61,704,9549,71,733,996,19
34,52,2413,60,852,3681,6,882,6019,1
61,433,1690,64,386,9480,84,754,7907,83
8,711,1078,50,684,6382,91,117,5719,61
61,483,1435,81,527,317,41,395,93,28
38,733,2719,78,150,3170,45,31,2112,60
50,894,773,73,941,7404,17,512,7124,97
9,68,8128,49,818,7262,62,149,3302,48
51,671,9907,49,346,6134,66,862,7039,97
11,71,276,59,92,9938,32,296,4277,91
71,661,2281,79,599,5831,29,30,7684,32
61,880,6733,55,529,5751,94,516,3749,92
2,869,6285,72,157,8223,38,291,2298,92
82,558,5512,99,879,1540,97,301,9935,39
10,256,5677,95,750,5192,47,396,9211,49
7,586,4264,94,461,8758,98,666,8435,7
89,293,980,12,587,2609,20,167,6831,34
22,694,7681,43,574,1203,34,113,9911,38
9,645,4691,73,912,9801,76,942,2722,36
17,595,6899,49,314,8879,71,930,7700,95
75,255,67,40,793,3620,83,307,3600,72
38,915,2268,94,14,8203,83,519,6058,96
25,829,387,31,521,225,55,439,4548,91
10,273,4659,61,696,3824,28,495,6751,79
9,849,4098,43,120,1271,12,555,7991,45
2,70,3435,33,69,7664,42,834,2357,92
61,927,4897,55,448,8816,78,123,441,44
70,217,1375,5,418,4775,84,502,8024,46
60,23,5968,22,199,8886,9,301,7448,62
3,495,7449,95,511,3096,76,148,478,24
60,885,1427,37,715,2250,91,162,9564,32
7,693,3307,19,397,6404,59,301,3786,41
12,246,143,1,396,1536,11,155,2170,4
11,946,1649,35,82,6764,86,634,6901,85
34,395,4894,27,378,9919,12,186,3411,62
53,857,8665,68,793,565,42,269,8047,72
50,861,9695,15,521,1592,83,347,7397,98
42,465,5157,89,537,6123,33,18,9927,20
99,835,4324,15,32,4940,79,898,3162,84
65,545,4757,34,953,6960,50,344,5421,16
14,214,6792,84,936,3304,78,910,2857,33
48,732,8728,34,360,6630,1,312,1544,63
33,956,1571,73,11,2661,16,584,3448,63
38,830,9676,58,289,9900,43,231,4960,51
25,840,6888,14,169,2722,37,484,3881,52
68,806,3741,3,450,7514,96,981,6661,98
47,971,1060,59,270,2022,14,568,7838,71
88,804,9181,84,605,8452,36,51,3430,83
50,395,3048,6,564,1034,63,463,9423,10
97,271,2922,37,192,9238,99,673,5585,92
3,914,8130,11,343,4924,73,194,9555,83
97,843,2797,49,149,820,49,333,1917,86
26,640,2092,43,334,2596,13,153,5861,59
41,704,6656,89,115,4275,77,786,2506,73
55,18,2890,74,706,4327,22,866,4754,19
92,819,5955,24,987,5483,2,433,3240,0
68,637,1420,21,399,6732,26,457,2590,32
17,939,927,19,435,1319,79,115,2974,6
60,228,4057,6,302,510,51,510,2165,95
3,124,1152,89,800,1881,39,939,3159,24
0,232,3251,18,71,4692,79,25,776,26
49,811,7715,49,236,1992,43,493,9300,62
83,897,756,38,163,3765,7,228,8239,79
69,204,3464,51,12,6993,33,409,9424,25
19,259,4479,60,863,1536,74,644,7944,56
19,402,5698,21,499,2313,64,40,4338,80
45,487,7809,9,162,2718,2,718,5104,87
26,172,7519,52,956,6457,34,952,3015,71
25,160,6776,57,95,265,97,556,6650,52
31,272,1339,21,589,1068,18,452,9526,26
9,696,3682,50,620,1588,15,709,4156,89
81,912,8693,33,56,8550,72,725,6275,61
11,259,1146,8,186,356,35,791,3630,79
73,775,6506,81,920,6310,58,249,954,41
87,221,4227,35,515,4361,36,694,5894,54
23,115,8676,5,718,3596,12,502,9857,97
50,164,9704,4,365,4930,29,978,745,76
37,623,5066,94,596,5204,1,960,4268,33
45,863,4510,7,403,1064,2,655,2701,59
88,385,2926,88,120,3674,23,539,440,42
7,344,997,78,117,1997,27,692,9581,94
54,921,586,17,989,2459,7,607,4189,78
77,296,484,55,166,1009,13,773,445,3
30,396,5947,29,170,7289,4,367,23,57
87,722,8339,51,500,4550,90,26,8203,15
15,151,2111,33,972,8459,54,349,8660,81
19,712,9919,60,612,1542,67,854,5056,50
37,98,2456,7,446,6676,13,919,3433,86
14,445,3934,18,198,1243,43,959,6987,4
77,607,9679,34,825,2834,57,724,1860,86
75,64,5908,15,538,8993,11,985,3666,71
33,414,3145,79,837,9414,61,31,7040,40
71,145,2272,35,674,9408,42,181,5531,64
18,509,9705,63,975,9355,53,320,4333,32
68,910,2342,85,730,5333,81,880,3976,26
90,23,5805,81,247,7043,70,414,3708,39
62,576,5128,74,704,9340,48,813,4149,51
76,654,843,29,157,6204,70,984,7493,67
31,214,7469,32,355,2286,39,376,7016,37
94,369,4944,4,384,9115,93,278,7623,92
36,818,1942,54,686,6194,52,876,2751,85
65,531,8424,24,337,6613,45,230,49,21
6,349,8962,97,977,8866,15,435,7409,46
47,510,3173,70,764,9825,46,895,2837,82
10,51,2408,24,352,9468,61,532,966,70
74,204,5247,50,167,2035,44,908,7423,62
86,900,5207,96,797,1426,17,134,8970,60
30,764,6283,16,320,5990,14,436,5799,60
43,821,5948,92,515,5201,46,179,4256,39
44,932,6040,95,287,9853,30,312,8745,22
71,120,8544,71,642,7300,1,194,2526,74
55,61,2176,60,687,8434,37,207,4388,38
31,10,9316,40,560,7830,28,195,3103,20
20,553,2848,29,798,5683,64,332,6917,89
30,248,2230,98,465,518,34,951,374,40
0,645,9648,8,302,1933,41,240,9282,59
76,229,9683,57,696,7177,42,311,8089,40
10,88,5631,30,210,5645,61,700,9500,76
92,502,1072,91,803,3697,91,151,7787,10
67,172,1235,13,796,7704,40,176,3465,93
35,997,3774,58,38,9994,61,129,4283,64
78,440,5486,32,178,8745,72,618,7678,8
58,678,3998,15,739,1310,75,15,8963,96
66,359,962,2,37,6217,61,25,2169,69
55,617,1386,74,897,2311,28,97,5200,37
50,362,8391,54,62,6563,89,191,8547,21
28,988,9727,0,151,1577,27,726,7110,62
84,548,3878,74,206,2595,3,149,1767,37
1,551,3654,38,658,7541,41,373,3045,69
5,825,4785,41,642,8349,16,256,9225,96
30,224,5952,46,384,7594,60,545,8469,16
53,390,1303,96,306,4636,4,147,9591,88
87,465,8220,89,756,4882,32,548,6103,82
39,363,4818,90,507,84,95,875,616,35
16,167,1445,97,794,7302,38,29,5203,42
4,418,2222,43,513,4026,25,677,745,0
1,713,4081,35,605,625,14,332,8426,87
57,726,4308,24,159,2272,44,2,9800,48
11,373,6955,87,628,7092,4,60,9784,95
4,525,1449,62,81,6583,52,987,8324,25
59,722,3149,90,772,9598,46,303,2770,87
40,221,4725,1,40,3859,91,357,4948,64
19,136,2831,66,204,9568,79,563,6537,74
71,68,9583,71,703,2817,9,383,7787,33
0,806,8125,58,230,3002,0,634,2521,4
55,556,7030,99,185,3508,16,104,439,96
69,188,3841,48,951,5356,64,459,4469,39
55,49,3179,74,990,6103,23,500,8925,69
53,620,9727,41,308,266,46,774,2705,91
10,735,6319,85,79,9129,62,759,8355,58
2,870,6325,91,388,734,41,195,5194,84
94,679,5184,53,670,4277,1,201,4014,50
27,155,7239,11,921,5168,42,396,448,12
4,803,7724,66,39,1967,49,454,1220,96
89,496,1253,40,47,4265,56,656,6358,37
15,777,7901,50,262,1109,93,842,5179,31
30,828,1429,84,505,3492,25,180,5928,49
27,195,6087,68,638,6717,70,825,9599,0
6,676,3757,46,800,5755,32,720,6346,84
8,762,7957,11,107,9211,57,788,438,25
38,475,9222,99,386,7285,38,293,6454,69
98,228,8381,78,259,3466,53,688,2758,82
42,407,5290,29,242,4385,18,798,3098,65
26,929,1273,98,902,2652,59,935,3287,2
75,490,5216,6,808,1598,6,300,6211,60
88,218,4533,31,483,598,9,134,2693,44
92,512,3846,76,303,5326,47,652,3518,2
94,20,78,3,435,7995,50,629,1862,85
97,966,9142,32,621,4996,75,933,4988,23
32,683,115,36,369,5449,55,969,6150,41
90,423,9640,73,37,4753,19,882,421,72
55,107,6398,98,878,4754,95,610,7814,10
1,334,46,3,145,6541,25,632,713,75
13,845,5176,14,884,7190,62,833,514,25
12,349,1836,22,228,8951,63,819,4267,3
23,307,2455,30,546,1464,83,219,8429,44
68,256,5422,96,245,8677,92,476,222,43
33,436,9823,40,277,5458,32,189,2606,61
86,578,5666,12,853,8052,78,211,1069,76
18,416,9280,32,479,9931,7,81,5094,95
